ts,workflow,anomaly,action,status,latency_ms,recovery_pct,reward
2025-10-28T11:32:29.622938+00:00,customer_support,api_failure,"switch_backup_endpoint, retry_request",healed,9202,95.94,0.43
2025-10-28T11:32:29.656344+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,11564,88.94,0.02
2025-10-28T11:32:29.689467+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,6683,92.34,0.1
2025-10-28T11:32:41.068073+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,2166,88.06,0.31
2025-10-28T11:33:01.023368+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,14930,77.38,0.24
2025-10-28T11:33:16.042657+00:00,customer_support,api_failure,"switch_backup_endpoint, retry_request",healed,7713,81.76,-0.01
2025-10-28T11:33:36.208450+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,3537,87.27,0.37
2025-10-28T11:33:51.224381+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,13700,80.71,0.08
2025-10-28T11:34:11.221315+00:00,customer_support,queue_pressure,"restart_queue, increase_batching",healed,13066,92.23,0.29
2025-10-28T11:34:24.201152+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,2643,84.16,-0.02
2025-10-28T11:34:41.259618+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,8038,86.88,0.1
2025-10-28T11:34:57.133413+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,6740,95.42,0.19
2025-10-28T11:35:16.253487+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,12880,80.8,0.49
2025-10-28T11:35:32.198966+00:00,invoice_processing,api_failure,"switch_backup_endpoint, retry_request",healed,6831,88.76,0.21
2025-10-28T11:35:52.219861+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,9862,80.68,0.09
2025-10-28T11:36:12.156377+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,5741,86.4,0.09
2025-10-28T11:36:48.163093+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,8004,95.44,-0.01
2025-10-28T11:37:48.174191+00:00,customer_support,api_failure,"switch_backup_endpoint, retry_request",healed,4277,95.89,0.3
2025-10-28T11:38:20.292426+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,2660,96.19,0.31
2025-10-28T11:38:36.203185+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,2437,97.93,-0.02
2025-10-28T11:38:51.226740+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,12036,80.59,0.36
2025-10-28T11:39:11.222593+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,4792,93.74,0.38
2025-10-28T11:39:27.134493+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,8663,88.52,0.31
2025-10-28T11:39:42.130823+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,3547,87.78,0.4
2025-10-28T11:39:57.155371+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,10912,80.78,0.01
2025-10-28T11:40:12.180183+00:00,customer_support,queue_pressure,"restart_queue, increase_batching",healed,10560,81.66,0.29
2025-10-28T11:40:48.178609+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,10133,89.93,0.31
2025-10-28T11:41:02.251506+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,6779,83.38,-0.01
2025-10-28T11:41:06.192917+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,14226,87.73,-0.07
2025-10-28T11:41:07.098548+00:00,customer_support,data_error,"revalidate_pipeline, notify_owner",healed,6246,96.61,-0.05
2025-10-28T11:41:28.978404+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,2102,97.86,0.11
2025-10-28T11:41:47.135949+00:00,customer_support,data_error,"revalidate_pipeline, notify_owner",healed,4849,95.07,0.03
2025-10-28T11:42:06.524815+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,4407,77.55,0.1
2025-10-28T11:42:21.539921+00:00,customer_support,queue_pressure,"restart_queue, increase_batching",healed,10001,80.1,0.1
2025-10-28T11:42:36.525187+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,9749,96.37,0.04
2025-10-28T11:42:56.532583+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,13486,85.93,0.07
2025-10-28T11:43:16.521357+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,11013,95.91,-0.05
2025-10-28T11:43:32.128328+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,5230,87.33,0.43
2025-10-28T11:43:52.141691+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,5027,91.28,-0.09
2025-10-28T11:44:12.100985+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,9221,91.29,0.44
2025-10-28T11:44:31.510009+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,4733,90.27,0.48
2025-10-28T11:44:47.111877+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,8779,94.36,-0.03
2025-10-28T11:45:07.104913+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,8118,81.65,0.05
2025-10-28T11:45:22.104706+00:00,invoice_processing,queue_pressure,"restart_queue, increase_batching",healed,14316,75.2,0.37
2025-10-28T11:45:37.131551+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,2983,78.8,0.42
2025-10-28T11:46:48.175494+00:00,inventory_tracking,queue_pressure,"restart_queue, increase_batching",healed,11698,92.58,0.26
2025-10-28T11:47:06.516441+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,5765,85.24,0.24
2025-10-28T11:47:21.519171+00:00,order_processing,queue_pressure,"restart_queue, increase_batching",healed,4934,90.98,0.09
2025-10-28T11:47:31.917653+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,11850,91.86,0.49
2025-10-28T11:47:41.509887+00:00,invoice_processing,queue_pressure,"restart_queue, increase_batching",healed,14804,83.21,-0.04
2025-10-28T11:47:57.094982+00:00,inventory_tracking,queue_pressure,"restart_queue, increase_batching",healed,14521,83.61,0.07
2025-10-28T11:48:16.503291+00:00,customer_support,data_error,"revalidate_pipeline, notify_owner",healed,3744,85.9,0.15
2025-10-28T11:48:31.500259+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,4943,82.31,0.17
2025-10-28T11:48:42.100834+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,2114,81.26,0.01
2025-10-28T11:48:49.830671+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,10250,95.57,0.01
2025-10-28T11:49:01.516185+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,4390,92.66,0.15
2025-10-28T11:49:21.489423+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,11784,85.3,-0.03
2025-10-28T11:49:36.512152+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,12647,82.27,0.17
2025-10-28T11:49:56.513985+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,3131,93.35,0.04
2025-10-28T11:50:16.514687+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,14265,76.1,0.03
2025-10-28T11:50:32.090391+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,12380,91.04,0.45
2025-10-28T11:50:47.088315+00:00,order_processing,queue_pressure,"restart_queue, increase_batching",healed,2012,83.97,0.23
2025-10-28T11:51:02.104096+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,12338,93.13,0.4
2025-10-28T11:51:48.097631+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,7242,85.28,0.15
2025-10-28T11:52:10.763451+00:00,order_processing,queue_pressure,"restart_queue, increase_batching",healed,13489,81.62,0.5
2025-10-28T11:52:26.491695+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,10294,96.7,-0.08
2025-10-28T11:52:47.077779+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,12642,93.59,-0.05
2025-10-28T11:53:02.083478+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,10596,94.91,0.11
2025-10-28T11:53:22.069754+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,6511,88.0,-0.03
2025-10-28T11:53:37.072768+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,12679,87.47,0.36
2025-10-28T11:54:48.068750+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,2319,83.16,0.33
2025-10-28T11:55:48.072955+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,10969,86.56,0.16
2025-10-28T11:56:48.078199+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,2356,91.36,0.33
2025-10-28T11:57:48.049021+00:00,order_processing,queue_pressure,"restart_queue, increase_batching",healed,14522,86.43,0.2
2025-10-28T11:58:48.043111+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,2235,90.2,0.38
2025-10-28T11:59:48.047946+00:00,customer_support,api_failure,"switch_backup_endpoint, retry_request",healed,4298,85.6,0.09
2025-10-28T12:00:48.036763+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,10075,95.7,0.4
2025-10-28T12:01:48.035486+00:00,customer_support,workflow_delay,"optimize_scheduler, scale_up_workers",healed,11079,82.28,0.44
2025-10-28T12:02:48.034390+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,13077,75.02,0.25
2025-10-28T12:03:48.047281+00:00,invoice_processing,api_failure,"switch_backup_endpoint, retry_request",healed,11068,89.54,0.2
2025-10-28T12:04:48.022114+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,4802,83.66,-0.03
2025-10-28T12:05:48.021731+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,12755,94.55,-0.04
2025-10-28T12:06:48.022695+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,12707,89.72,0.4
2025-10-28T12:07:48.011189+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,10857,93.7,0.37
2025-10-28T12:08:48.009862+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,12100,77.57,0.09
2025-10-28T12:09:48.001257+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,9927,84.34,0.29
2025-10-28T12:10:47.999107+00:00,inventory_tracking,queue_pressure,"restart_queue, increase_batching",healed,13408,76.16,0.42
2025-10-28T12:11:47.988207+00:00,customer_support,data_error,"revalidate_pipeline, notify_owner",healed,2744,90.5,0.26
2025-10-28T12:12:48.023003+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,3628,92.3,0.4
2025-10-28T12:13:48.060772+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,10695,80.85,0.45
2025-10-28T12:14:48.016580+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,12781,90.37,0.45
2025-10-28T12:15:48.028206+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,10402,93.17,0.07
2025-10-28T12:16:48.039322+00:00,invoice_processing,api_failure,"switch_backup_endpoint, retry_request",healed,4668,94.9,-0.04
2025-10-28T12:17:48.010123+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,9350,81.22,0.16
2025-10-28T12:18:48.017084+00:00,customer_support,data_error,"revalidate_pipeline, notify_owner",healed,10431,97.25,0.36
2025-10-28T12:19:48.022859+00:00,order_processing,data_error,"revalidate_pipeline, notify_owner",healed,3061,97.0,0.14
2025-10-28T12:20:48.011110+00:00,invoice_processing,queue_pressure,"restart_queue, increase_batching",healed,13082,93.76,0.47
2025-10-28T12:21:48.002975+00:00,inventory_tracking,data_error,"revalidate_pipeline, notify_owner",healed,4547,94.25,0.47
2025-10-28T12:38:56.691404+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,8588,80.96,0.32
2025-10-28T12:38:58.660010+00:00,invoice_processing,queue_pressure,"restart_queue, increase_batching",healed,3360,79.53,0.09
2025-10-28T12:39:16.405558+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,2206,81.43,-0.07
2025-10-28T12:39:36.358532+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,14779,95.62,0.05
2025-10-28T12:39:51.964839+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,12109,87.21,0.02
2025-10-28T12:40:06.958153+00:00,inventory_tracking,queue_pressure,"restart_queue, increase_batching",healed,4077,93.02,-0.01
2025-10-28T12:40:26.960116+00:00,invoice_processing,api_failure,"switch_backup_endpoint, retry_request",healed,14797,80.79,0.25
2025-10-28T12:40:46.975762+00:00,order_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,7084,97.9,-0.1
2025-10-28T12:41:47.983707+00:00,invoice_processing,workflow_delay,"optimize_scheduler, scale_up_workers",healed,13587,84.91,0.19
2025-10-28T12:42:47.968145+00:00,inventory_tracking,api_failure,"switch_backup_endpoint, retry_request",healed,2891,82.56,0.13
2025-10-28T12:43:47.988308+00:00,invoice_processing,api_failure,"switch_backup_endpoint, retry_request",healed,8942,90.83,0.39
2025-10-28T12:44:47.965172+00:00,invoice_processing,data_error,"revalidate_pipeline, notify_owner",healed,14342,75.11,-0.03
2025-10-28T12:45:47.973211+00:00,customer_support,api_failure,"switch_backup_endpoint, retry_request",healed,6085,86.64,0.31
2025-10-28T12:46:47.994081+00:00,customer_support,data_error,"revalidate_pipeline, notify_owner",healed,12057,89.69,0.33
2025-10-28T12:47:47.966867+00:00,order_processing,api_failure,"switch_backup_endpoint, retry_request",healed,9413,97.37,-0.07
2025-10-28T12:48:47.958580+00:00,inventory_tracking,workflow_delay,"optimize_scheduler, scale_up_workers",healed,14316,76.61,0.25
